"meteorite_name","recclass","mass_g","impact_year"
"Aachen","L5",21,1880
"Aarhus","H6",720,1951
"Abee","EH4",107000,1952
"Acapulco","Acapulcoite",1914,1976
"Achiras","L6",780,1902
"Adhi Kot","EH4",4239,1919
"Adzhi-Bogdo (stone)","LL3-6",910,1949
"Agen","H5",30000,1814
"Aguada","L6",1620,1930
"Aguila Blanca","L",1440,1920
"Aioun el Atrouss","Diogenite-pm",1000,1974
"Aïr","L6",24000,1925
"Akaba","L6",779,1949
"Akbarpur","H4",1800,1838
"Akwanga","H",3000,1959
"Akyumak","Iron, IVA",50000,1981
"Al Rais","CR2-an",160,1957
"Al Zarnkh","LL5",700,2001
"Alais","CI1",6000,1806
"Albareto","L/LL4",2000,1766
"Alberta","L",625,1949
"Alby sur Chéran","Eucrite-mmict",252,2002
"Aldsworth","LL5",700,1835
"Aleppo","L6",3200,1873
"Alessandria","H5",908,1860
"Alexandrovsky","H4",9251,1900
"Alfianello","L6",228000,1883
"Allegan","H5",32000,1899
"Allende","CV3",2000000,1969
"Almahata Sitta","Ureilite-an",3950,2008
"Alta'ameem","LL5",6000,1977
"Ambapur Nagla","H5",6400,1895
"Andhara","Stone-uncl",2700,1880
"Andover","L6",3200,1898
"Andreevka","L3",600,1969
"Andura","H6",17900,1939
"Angra dos Reis (stone)","Angrite",1500,1869
"Ankober","H4",6500,1942
"Anlong","H5",2500,1971
"Aomori","L6",320,1984
"Appley Bridge","LL6",15000,1914
"Apt","L6",3200,1803
"Arbol Solo","H5",810,1954
"Archie","H6",5070,1932
"Arroyo Aguiar","H5",7450,1950
"Asco","H6",41,1805
"Ash Creek","L6",9500,2009
"Ashdon","L6",1300,1923
"Assisi","H5",2000,1886
"Atarra","L4",1280,1920
"Atemajac","L6",94.2,1896
"Athens","LL6",265,1933
"Atoka","L6",1384.2,1945
"Aubres","Aubrite",800,1836
"Aumale","L6",50000,1865
"Aumieres","L6",2000,1842
"Ausson","L5",50000,1858
"Avanhandava","H4",9330,1952
"Avce","Iron, IIAB",1230,1908
"Avilez","H",146,1855
"Awere","L4",134,1968
"Aztec","L6",2830,1938
"Bachmut","L6",18000,1814
"Bahjoi","Iron, IAB-sLL",10322,1934
"Bald Mountain","L4",3700,1929
"Baldwyn","L6",345,1922
"Bali","CV3",1000,1907
"Ban Rong Du","Iron, ungrouped",16700,1993
"Bandong","LL6",11500,1871
"Bansur","L6",15000,1892
"Banswal","L5",14,1913
"Banten","CM2",629,1933
"Barbotan","H5",6400,1790
"Barea","Mesosiderite-A1",3200,1842
"Barnaul","H5",23.2,1904
"Barntrup","LL4",17,1886
"Baroti","L6",4500,1910
"Barwell","L5",44000,1965
"Bassikounou","H5",29560,2006
"Baszkówka","L5",15500,1994
"Bath","H4",21000,1892
"Bath Furnace","L6",86000,1902
"Battle Mountain","L6",2900,2012
"Bawku","LL5",1557,1989
"Baxter","L6",611,1916
"Beardsley","H5",16000,1929
"Beaver Creek","H5",14000,1893
"Beddgelert","H5",794,1949
"Bells","C2-ung",375,1961
"Benares (a)","LL4",3700,1798
"Benguerir","LL6",25000,2004
"Beni M'hira","L6",19000,2001
"Benld","H6",1770.5,1938
"Benoni","H6",3880,1943
"Bensour","LL6",45000,2002
"Benton","LL6",2840,1949
"Berduc","L6",270,2008
"Béréba","Eucrite-mmict",18000,1924
"Berlanguillas","L6",1440,1811
"Berthoud","Eucrite-mmict",960,2004
"Bethlehem","H",13.9,1859
"Beuste","L5",2000,1859
"Beyrout","LL3.8",1100,1921
"Bhagur","L6",18,1877
"Bhawad","LL6",678,2002
"Bherai","L6",100,1893
"Bhola","LL3-6",1047,1940
"Bholghati","Howardite",2500,1905
"Bialystok","Eucrite-pmict",4000,1827
"Bielokrynitschie","H4",1900,1887
"Bilanga","Diogenite",25000,1999
"Binningup","H5",488.1,1984
"Birni N'konni","H4",560,1923
"Bishopville","Aubrite",6000,1843
"Bishunpur","LL3.15",1039,1895
"Bjelaja Zerkov","H6",1850,1796
"Bjurböle","L/LL4",330000,1899
"Black Moshannan Park","L5",705,1941
"Blackwell","L5",2381,1906
"Blanket","L6",5100,1909
"Blansko","H6",470,1833
"Bloomington","LL6",67.8,1938
"Bo Xian","LL3.9",7500,1977
"Bocas","L6",56,1804
"Bogou","Iron, IAB-MG",8800,1962
"Boguslavka","Iron, IIAB",256000,1916
"Borgo San Donino","LL6",1676,1808
"Bori","L6",8600,1894
"Boriskino","CM2",1342,1930
"Borkut","L5",7000,1852
"Borodino","H5",500,1812
"Botschetschki","L4",614,1823
"Boumdeid (2003)","L6",190,2003
"Boumdeid (2011)","L6",3599,2011
"Bovedy","L3",5460,1969
"Bradford Woods","L",762,1886
"Braunau","Iron, IIAB",39000,1847
"Breitscheid","H5",1500,1956
"Bremervörde","H/L3.9",7250,1855
"Brient","Eucrite-pmict",219,1933
"Bruderheim","L6",303000,1960
"Bukhara","CV3",5300,2001
"Bunburra Rockhole","Eucrite",324,2007
"Bununu","Howardite",357,1942
"Bur-Gheluai","H5",120000,1919
"Burnwell","H4-an",1504,1990
"Bursa","L6",25000,1946
"Buschhof","L6",5000,1863
"Bustee","Aubrite",1500,1852
"Butsura","H6",29000,1861
"Buzzard Coulee","H4",41000,2008
"Cabezo de Mayo","L/LL6",25000,1870
"Cabin Creek","Iron, IIIAB",48500,1886
"Cacak","OC",212,1919
"Cali","H/L4",478,2007
"Calivo","Stone-uncl",2400,1916
"Campos Sales","L5",23680,1991
"Çanakkale","L6",4000,1964
"Cañellas","H4",945,1861
"Cangas de Onis","H5",34000,1866
"Canon City","H6",1400,1973
"Cape Girardeau","H6",2300,1846
"Capilla del Monte","H6",750,1934
"Carancas","H4-5",342,2007
"Caratash","LL6",8,1902
"Castalia","H5",7300,1874
"Castine","L6",94,1848
"Castrovillari","Stone-uncl",15000,1583
"Caswell County","OC",1360,1810
"Ceniceros","L3.7",1025,1988
"Centerville","H5",45.6,1956
"Cereseto","H5",6460,1840
"Chadong","L6",3700,1998
"Chail","H6",0.5,1814
"Chainpur","LL3.4",8200,1907
"Chajari","L5",18300,1933
"Chandakapur","L5",8800,1838
"Chandpur","L6",1100,1885
"Changde","H5",1810,1977
"Chantonnay","L6",31500,1812
"Charlotte","Iron, IVA",4300,1835
"Charsonville","H6",27000,1810
"Charwallas","H6",12000,1834
"Chassigny","Martian (chassignite)",4000,1815
"Château-Renard","L6",30000,1841
"Chaves","Howardite",2945,1925
"Chela","H4",2936,1988
"Chelyabinsk","LL5",100000,2013
"Chergach ","H5",100000,2007
"Chernyi Bor","H4",6000,1964
"Cherokee Springs","LL6",8400,1933
"Chervettaz","L5",705,1901
"Chervony Kut","Eucrite-mmict",1700,1939
"Chetrinahatti","Stone-uncl",72,1880
"Chiang Khan","H6",367,1981
"Chicora","LL6",303,1938
"Chisenga","Iron, IIIAB",3920,1988
"Chitenay","L6",4000,1978
"Cilimus","L5",1600,1979
"Claxton","L6",1455,1984
"Colby (Wisconsin)","L6",104000,1917
"Cold Bokkeveld","CM2",5200,1838
"Coleman","L6",469,1994
"Collescipoli","H5",5000,1890
"Conquista","H4",20350,1965
"Cosina","H5",1200,1844
"Cranganore","L6",1460,1917
"Crescent","CM2",78.4,1936
"Cronstad","H5",3650,1877
"Cross Roads","H5",167,1892
"Crumlin","L5",4255,1902
"Cumberland Falls","Aubrite",17000,1919
"Cynthiana","L/LL4",6000,1877
"Dahmani","LL6",18000,1981
"Dandapur","L6",5650,1878
"Daniel's Kuil","EL6",1064,1868
"Danville","L6",2000,1868
"Darmstadt","H5",100,1804
"Dashoguz","H5",7000,1998
"Daule","L5",6580,2008
"De Cewsville","H6",340,1887
"Deal","L6",28,1829
"Delhi","L5",0.8,1897
"Demina","L6",16400,1911
"Denver","L6",230,1967
"Dergaon","H5",12500,2001
"Desuri","H6",25400,1962
"Devgaon","H3.8",12000,2001
"Devri-Khera","L6",1140,1994
"Dhajala","H3.8",45000,1976
"Dharwar","OC",1800,1848
"Dhurmsala","LL6",32000,1860
"Didim","H3-5",3396,2007
"Diep River","L6",1000,1906
"Distrito Quebracho","H4",400,1957
"Djati-Pengilon","H6",166000,1884
"Djermaia","H",3950,1961
"Djoumine","H5-6",10000,1999
"Dokachi","H5",3840,1903
"Dolgovoli","L6",1600,1864
"Domanitch","L5",438,1907
"Dong Ujimqin Qi","Mesosiderite",128800,1995
"Donga Kohrod","H6",230,1899
"Dongtai","LL6",5500,1970
"Doroninsk","H5-7",3891,1805
"Dosso","L6",1250,1962
"Douar Mghila","LL6",1161,1932
"Dowa","Stone-uncl",642,1976
"Drake Creek","L6",5000,1827
"Dresden (Ontario)","H6",47700,1939
"Dubrovnik","L3-6",1900,1951
"Dunbogan","L6",30,1999
"Dundrum","H5",2270,1865
"Durala","L6",13200,1815
"Duruma","L6",577,1853
"Duwun","L6",2117,1943
"Dwaleni","H4-6",3230,1970
"Dyalpur","Ureilite",300,1872
"Dyarrl Island","Mesosiderite-A1",188,1933
"Eagle","EL6",10000,1947
"Ehole","H5",2400,1961
"Eichstädt","H5",3000,1785
"Ekeby","H4",3336,1939
"Ekh Khera","H6",840,1916
"El Idrissia","L6",10000,1989
"El Paso de Aguila","H5",17226,1977
"El Tigre","L6",5000,1993
"Elbert","LL6",680.5,1998
"Elbogen","Iron, IID",107000,1399
"Elenovka","L5",54640,1951
"Ellemeet","Diogenite",1470,1925
"Emmaville","Eucrite-mmict",127,1900
"Enshi","H5",8000,1974
"Ensisheim","LL6",127000,1491
"Épinal","H5",277,1822
"Erakot","CM2",113,1940
"Erevan","Howardite",107.2,1911
"Ergheo","L5",20000,1889
"Erxleben","H6",2250,1812
"Esnandes","L6",1500,1837
"Essebi","C2-ung",500,1957
"Estherville","Mesosiderite-A3/4",320000,1879
"Farmington","L5",89400,1890
"Farmville","H4",56000,1934
"Favars","H5",1500,1844
"Fayetteville","H4",2360,1934
"Feid Chair","H4",380,1875
"Felix","CO3.3",3200,1900
"Fenghsien-Ku","H5",82,1924
"Ferguson","OC",220,1889
"Fermo","H3-5",10200,1996
"Fisher","L6",17600,1894
"Florence","H3",3640,1922
"Forest City","H5",152000,1890
"Forest Vale","H4",26000,1942
"Forksville","L6",6067,1924
"Forsbach","H6",240,1900
"Forsyth","L6",16300,1829
"Frankfort (stone)","Howardite",650,1868
"Fuhe","L5",23000,1945
"Fukutomi","L5",11620,1882
"Futtehpur","L6",4000,1822
"Fuyang","Stone-uncl",2500,1977
"Galapian","H6",132.7,1826
"Galim (a)","LL6",36.1,1952
"Galim (b)","EH3/4-an",28,1952
"Galkiv","H4",5000,1995
"Gambat","L6",6400,1897
"Garhi Yasin","Iron, IIE",380,1917
"Garland","Diogenite-pm",102,1950
"Gashua","L6",4162,1984
"Geidam","H5",725,1950
"Gifu","L6",14290,1909
"Girgenti","L6",18000,1853
"Git-Git","L6",480,1947
"Glanerbrug","L/LL5",670,1990
"Glanggang","H5-6",1303,1939
"Glasatovo","H4",152000,1918
"Glatton","L6",767,1991
"Gnadenfrei","H5",1750,1879
"Gopalpur","H6",1600,1865
"Gorlovka","H3.7",3618,1974
"Granes","L6",9000,1964
"Grefsheim","L5",45.5,1976
"Grimsby","H5",215,2009
"Grosnaja","CV3",3500,1861
"Gross-Divina","H5",10500,1837
"Grossliebenthal","L6",8000,1881
"Grüneberg","H4",1000,1841
"Grzempach","H5",690,1910
"Gualeguaychú","H6",22000,1932
"Guangmingshan","H5",2910,1996
"Guangrao","L6",1900,1980
"Guareña","H6",39000,1892
"Guêa","Stone-uncl",1915,1891
"Guibga","L5",288,1972
"Guidder","LL5",968,1949
"Gujargaon","H5",2449,1982
"Gujba","CBa",100000,1984
"Gumoschnik","H5",5700,1904
"Gurram Konda","L6",28,1814
"Gursum","H4/5",34650,1981
"Gütersloh","H3/4",1000,1851
"Gyokukei","OC",1320,1930
"Hachi-oji","H?",0.2,1817
"Hainaut","H3-6",9000,1934
"Hallingeberg","L3.4",1456,1944
"Hamlet","LL4",3710,1959
"Haraiya","Eucrite-mmict",1000,1878
"Haripura","CM2",315,1921
"Harleton","L6",8360,1961
"Harrison County","L6",680,1859
"Hashima","H4",1110.6,1910
"Hassi-Jekna","Iron, IAB-sHL",1250,1890
"Hatford","Stone-uncl",29000,1628
"Haverö","Ureilite",1544,1971
"Hedeskoga","H5",3500,1922
"Hedjaz","L3.7-6",6100,1910
"Heredia","H5",1000,1857
"Hessle","H5",20000,1869
"Higashi-koen","H5",750,1897
"High Possil","L6",4500,1804
"Hiroshima","H5",414,2003
"Hoima","H6",167.7,2003
"Hökmark","L4",305.5,1954
"Holbrook","L/LL6",220000,1912
"Holetta","Stone-uncl",1415,1923
"Homestead","L5",230000,1875
"Honolulu","L5",2420,1825
"Hotse","L6",180,1956
"Hoxie","OC",266.1,1963
"Hraschina","Iron, IID",49000,1751
"Huaxi","H5",1600,2010
"Hungen","H6",112,1877
"Hvittis","EL6",14000,1901
"Ibbenbüren","Diogenite",2000,1870
"Ibitira","Eucrite-mmict",2500,1957
"Ichkala","H6",3973,1936
"Idutywa","H5",3457,1956
"Iguaracu","H5",1200,1977
"Ijopega","H6",7330,1975
"Indarch","EH4",27000,1891
"Independence","L6",880,1917
"Inner Mongolia","L6",3000,1963
"Innisfree","L5",4576,1977
"Ipiranga","H6",7000,1972
"Ishinga","H",1300,1954
"Isthilart","H5",3050,1928
"Itapicuru-Mirim","H5",2024,1879
"Itqiy","EH7-an",4720,1990
"Ivuna","CI1",704.5,1938
"Jackalsfontein","L6",48000,1903
"Jajh deh Kot Lalu","EL6",973,1926
"Jalandhar","Iron",1967,1621
"Jamkheir","H6",22,1866
"Jartai","L6",20500,1979
"Jelica","LL6",34000,1889
"Jesenice","L6",3667,2009
"Jhung","L5",5900,1873
"Jiange","H5",222,1964
"Jianshi","Iron, IIIAB",600000,1890
"Jilin","H5",4000000,1976
"Jodiya","L5",100,2006
"Jodzie","Howardite",30,1877
"Johnstown","Diogenite",40300,1924
"Jolomba","LL6",483,1974
"Jonzac","Eucrite-mmict",5000,1819
"Juancheng","H5",100000,1997
"Judesegeri","H6",680,1876
"Jumapalo","L6",32490,1984
"Junan","L6",950,1976
"Juromenha","Iron, IIIAB",25250,1968
"Juvinas","Eucrite-mmict",91000,1821
"Kaba","CV3",3000,1857
"Kabo","H4",13400,1971
"Kadonah","H6",89,1822
"Kaee","H5",230,1838
"Kagarlyk","L6",1900,1908
"Kaidun","CR2",2000,1980
"Kainsaz","CO3.2",200000,1937
"Kakangari","K3",350,1890
"Kakowa","L6",577,1858
"Kalaba","H4",950,1951
"Kalumbi","L6",4500,1879
"Kamalpur","L6",2770,1942
"Kamiomi","H5",448,1913
"Kamsagar","L6",1293,1902
"Kandahar (Afghanistan)","L6",299,1959
"Kangean","H5",1630,1908
"Kangra Valley","H5",400,1897
"Kapoeta","Howardite",11355,1942
"Kaprada","L5/6",1600,2004
"Kaptal-Aryk","L6",3500,1937
"Karakol","LL6",3000,1840
"Karatu","LL6",2220,1963
"Karewar","L6",180,1949
"Karkh","L6",22000,1905
"Karloowala","L6",2950,1955
"Karoonda","CK4",41730,1930
"Kasamatsu","H",710,1938
"Kasauli","H4",16820,2003
"Katagum","L6",1500,1999
"Kavarpura","Iron, IIE-an",6800,2006
"Kayakent","Iron, IIIAB",85000,1961
"Kediri","L4",3300,1940
"Kemer","L4",5760,2008
"Kendleton","L4",6937,1939
"Kendrapara","H4-5",6669.2,2003
"Kerilis","H5",5000,1874
"Kernouve","H6",80000,1869
